;NomVille;MAJ   ; Code Postal ; Code INSEE ;Code Région; Latitude ; Longitude ; Eloignement 
218;Châtillon-la-Palud;CHATILLON LA PALUD ;1320;1092;82;45.966667;5.25;1.39
219;Ambérieux-en-Dombes;AMBERIEUX EN DOMBES ;1330;1005;82;46.0;4.9;1.72
220;Sainte-Olive;SAINTE OLIVE  ;1330;1382;82;46.016667;4.933333;1.4
221;Lapeyrouse;LAPEYROUSE   ;1330;1207;82;45.983333;4.966667;1.29
222;Bouligneux;BOULIGNEUX   ;1330;1052;82;46.016667;5.0;1.17
223;Villars-les-Dombes;VILLARS LES DOMBES ;1330;1443;82;46.0;5.016667;1.12
224;Birieux;BIRIEUX   ;1330;1045;82;45.95;5.033333;1.06
225;LePlantay;LE PLANTAY  ;1330;1299;82;46.016667;5.083333;1.35
226;Versailleux;VERSAILLEUX   ;1330;1434;82;45.983333;5.1;1.59
227;Béréziat;BEREZIAT   ;1340;1040;82;46.366667;5.05;1.71
228;Marsonnas;MARSONNAS   ;1340;1236;82;46.333333;5.066667;1.51
229;Saint-Didier-d'Aussiat;SAINT DIDIER D AUSSIAT;1340;1346;82;46.3;5.066667;1.33
230;Jayat;JAYAT   ;1340;1196;82;46.366667;5.116667;1.71
231;Montrevel-en-Bresse;MONTREVEL EN BRESSE ;1340;1266;82;46.333333;5.133333;1.51
232;Malafretaz;MALAFRETAZ   ;1340;1229;82;46.316667;5.15;1.41
233;Attignat;ATTIGNAT   ;1340;1024;82;46.283333;5.166667;1.21
234;Cras-sur-Reyssouze;CRAS SUR REYSSOUZE ;1340;1130;82;46.3;5.166667;1.31
235;Étrez;ETREZ   ;1340;1154;82;46.333333;5.183333;1.51
236;Foissiat;FOISSIAT   ;1340;1163;82;46.366667;5.183333;1.71
237;Vongnes;VONGNES   ;1350;1456;82;45.816667;5.716667;1.61
238;Ceyzérieu;CEYZERIEU   ;1350;1073;82;45.833333;5.733333;1.51
239;Flaxieu;FLAXIEU   ;1350;1162;82;45.816667;5.733333;1.61
240;Béon;BEON   ;1350;1039;82;45.833333;5.75;1.51
241;Pollieu;POLLIEU   ;1350;1302;82;45.8;5.75;1.71
242;Cressin-Rochefort;CRESSIN ROCHEFORT  ;1350;1133;82;45.766667;5.766667;1.91
243;Lavours;LAVOURS   ;1350;1208;82;45.8;5.766667;1.71
244;Culoz;CULOZ   ;1350;1138;82;45.85;5.783333;1.5
245;Anglefort;ANGLEFORT   ;1350;1010;82;45.916667;5.808333;-1
246;Balan;BALAN   ;1360;1027;82;45.833333;5.1;1.51
247;Bressolles;BRESSOLLES   ;1360;1062;82;45.866667;5.1;1.31
248;Béligneux;BELIGNEUX   ;1360;1032;82;45.866667;5.116667;1.31
249;LaValbonne;LA VALBONNE  ;1360;1909;82;45.85;5.133333;1.41
250;Loyettes;LOYETTES   ;1360;1224;82;45.766667;5.2;2.27
251;Bény;BENY   ;1370;1038;82;46.333333;5.283333;1.51
252;Saint-Étienne-du-Bois;SAINT ETIENNE DU BOIS;1370;1350;82;46.283333;5.283333;1.21
253;Meillonnas;MEILLONNAS   ;1370;1241;82;46.25;5.35;1.08
254;Courmangoux;COURMANGOUX   ;1370;1127;82;46.333333;5.366667;1.51
255;Cuisiat;CUISIAT   ;1370;1137;82;46.3;5.383333;1.31
256;Pressiat;PRESSIAT   ;1370;1312;82;46.333333;5.383333;1.51
257;Saint-André-de-Bâgé;SAINT ANDRE DE BAGE;1380;1332;82;46.3;4.916667;1.46
258;Bâgé-le-Châtel;BAGE LE CHATEL ;1380;1026;82;46.3;4.933333;1.4
259;Bâgé-la-Ville;BAGE LA VILLE ;1380;1025;82;46.316667;4.95;1.41
260;Saint-Cyr-sur-Menthon;SAINT CYR SUR MENTHON;1380;1343;82;46.266667;4.983333;1.23
261;Dommartin;DOMMARTIN   ;1380;1144;82;46.341667;4.991667;1.56
262;Saint-Genis-sur-Menthon;SAINT GENIS SUR MENTHON;1380;1355;82;46.283333;5.016667;1.34
263;Rancé;RANCE   ;1390;1318;82;45.966667;4.866667;1.63
264;Civrieux;CIVRIEUX   ;1390;1105;82;45.916667;4.883333;1.57
265;Saint-Jean-de-Thurigneux;SAINT JEAN DE THURIGNEUX;1390;1362;82;45.95;4.883333;1.57
266;Mionnay;MIONNAY   ;1390;1248;82;45.9;4.933333;1.4
267;Monthieux;MONTHIEUX   ;1390;1261;82;45.95;4.933333;1.4
268;Saint-André-de-Corcy;SAINT ANDRE DE CORCY;1390;1333;82;45.916667;4.95;1.34
269;Tramoyes;TRAMOYES   ;1390;1424;82;45.866667;4.966667;1.7
